J: 8.12169 1.2197 -0.0852344 0 
nth temperature m m2 m4 ms e sp_h 
2 1.175 0.997916 0.995886 0.991984 0.00426017 -219.053 0.070376 
2 1.175 0.997966 0.995985 0.992173 0.00411769 -219.073 0.0681485 
2 1.18 0.997898 0.99585 0.991907 0.00416454 -219.043 0.0682475 
2 1.18 0.997904 0.995864 0.991945 0.00438024 -219.049 0.0698633 
2 1.185 0.997778 0.995613 0.991449 0.00442723 -218.98 0.0732787 
2 1.185 0.997846 0.995749 0.991719 0.00441859 -219.021 0.071911 
2 1.19 0.99766 0.995381 0.991 0.00468945 -218.931 0.0762315 
2 1.19 0.997502 0.995073 0.990412 0.00526723 -218.878 0.0808439 
2 1.195 0.99773 0.995518 0.99126 0.00441231 -218.959 0.0729897 
2 1.195 0.997576 0.995215 0.990673 0.00476353 -218.899 0.0772711 
2 1.2 0.99758 0.995225 0.990704 0.0049653 -218.909 0.0767263 
2 1.2 0.997576 0.995219 0.990697 0.00510369 -218.909 0.0774791 
2 1.205 0.997562 0.995188 0.990622 0.00478806 -218.887 0.0778051 
2 1.205 0.99728 0.994635 0.989558 0.00558022 -218.781 0.0844892 
2 1.21 0.99738 0.994828 0.989922 0.00508559 -218.806 0.0820339 
2 1.21 0.997364 0.994797 0.989863 0.00514475 -218.805 0.0815777 
2 1.215 0.997382 0.994833 0.989933 0.0051149 -218.802 0.0824121 
2 1.215 0.99742 0.994908 0.990082 0.00508836 -218.828 0.0801844 
2 1.22 0.997162 0.9944 0.989092 0.00553982 -218.714 0.0871444 
2 1.22 0.997218 0.994512 0.989319 0.00561151 -218.735 0.0873329 
2 1.225 0.997214 0.994503 0.989297 0.00550189 -218.739 0.0855934 
2 1.225 0.997042 0.994168 0.988657 0.00612002 -218.672 0.0903921 
2 1.23 0.997092 0.994263 0.988829 0.00570598 -218.677 0.0894096 
2 1.23 0.99702 0.99412 0.988548 0.00576257 -218.649 0.0900305 
2 1.235 0.997074 0.994227 0.988761 0.00572944 -218.676 0.0875838 
